Local time,Open,High,Low,Close,Volume
01.08.2024 00:41:25.000 GMT+0100,1.28548,1.28548,1.28548,1.28548,0.9
01.08.2024 00:42:05.000 GMT+0100,1.28548,1.28548,1.28546,1.28546,2.7000000000000006
01.08.2024 00:42:06.000 GMT+0100,1.28546,1.28546,1.28546,1.28546,0.9
01.08.2024 00:42:12.000 GMT+0100,1.28545,1.28545,1.28545,1.28545,0.9
01.08.2024 00:42:13.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:42:29.000 GMT+0100,1.28547,1.28547,1.28547,1.28547,0.9
01.08.2024 00:42:30.000 GMT+0100,1.28547,1.28549,1.28547,1.28549,1.8
01.08.2024 00:42:33.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,1.8
01.08.2024 00:42:43.000 GMT+0100,1.28545,1.28545,1.28545,1.28545,0.9
01.08.2024 00:42:44.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,0.9
01.08.2024 00:42:46.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,1.8
01.08.2024 00:42:50.000 GMT+0100,1.28544,1.28544,1.28544,1.28544,1.8
01.08.2024 00:43:16.000 GMT+0100,1.28542,1.28542,1.28539,1.28539,6.75
01.08.2024 00:43:21.000 GMT+0100,1.28537,1.28537,1.28537,1.28537,2.7
01.08.2024 00:43:41.000 GMT+0100,1.28539,1.28539,1.28539,1.28539,0.9
01.08.2024 00:43:46.000 GMT+0100,1.28539,1.28539,1.28539,1.28539,1.8
01.08.2024 00:44:00.000 GMT+0100,1.28540,1.28540,1.28540,1.28540,3.1500000000000004
01.08.2024 00:44:04.000 GMT+0100,1.28542,1.28542,1.28542,1.28542,0.9
01.08.2024 00:44:05.000 GMT+0100,1.28543,1.28543,1.28543,1.28543,0.9
01.08.2024 00:44:09.000 GMT+0100,1.28541,1.28541,1.28541,1.28541,0.9
01.08.2024 00:44:11.000 GMT+0100,1.28541,1.28541,1.28541,1.28541,2.7
01.08.2024 00:44:14.000 GMT+0100,1.28541,1.28541,1.28541,1.28541,0.9
01.08.2024 00:44:19.000 GMT+0100,1.28541,1.28541,1.28540,1.28540,2.7000000000000006
01.08.2024 00:44:21.000 GMT+0100,1.28538,1.28538,1.28538,1.28538,2.7
01.08.2024 00:44:29.000 GMT+0100,1.28538,1.28538,1.28538,1.28538,0.9
01.08.2024 00:44:32.000 GMT+0100,1.28537,1.28537,1.28536,1.28536,2.7000000000000006
01.08.2024 00:44:33.000 GMT+0100,1.28535,1.28535,1.28535,1.28535,0.9
01.08.2024 00:44:34.000 GMT+0100,1.28536,1.28536,1.28535,1.28535,2.7000000000000006
01.08.2024 00:44:36.000 GMT+0100,1.28534,1.28534,1.28534,1.28534,0.9
01.08.2024 00:44:43.000 GMT+0100,1.28534,1.28534,1.28534,1.28534,0.9
01.08.2024 00:44:45.000 GMT+0100,1.28533,1.28533,1.28533,1.28533,5.4
01.08.2024 00:44:53.000 GMT+0100,1.28533,1.28533,1.28533,1.28533,0.9
01.08.2024 00:44:54.000 GMT+0100,1.28533,1.28534,1.28532,1.28534,4.5
01.08.2024 00:44:55.000 GMT+0100,1.28534,1.28534,1.28534,1.28534,0.9
01.08.2024 00:44:56.000 GMT+0100,1.28532,1.28532,1.28531,1.28531,2.7000000000000006
01.08.2024 00:44:57.000 GMT+0100,1.28531,1.28531,1.28529,1.28531,5.4
01.08.2024 00:44:58.000 GMT+0100,1.28528,1.28528,1.28523,1.28524,21.150000000000002
01.08.2024 00:44:59.000 GMT+0100,1.28525,1.28526,1.28524,1.28526,4.5
01.08.2024 00:45:00.000 GMT+0100,1.28525,1.28525,1.28524,1.28524,7.199999999999999
01.08.2024 00:45:01.000 GMT+0100,1.28523,1.28523,1.28521,1.28521,11.7
01.08.2024 00:45:02.000 GMT+0100,1.28521,1.28521,1.28516,1.28518,9
01.08.2024 00:45:03.000 GMT+0100,1.28520,1.28520,1.28514,1.28514,14.850000000000001
01.08.2024 00:45:04.000 GMT+0100,1.28515,1.28517,1.28515,1.28517,1.8
01.08.2024 00:45:07.000 GMT+0100,1.28518,1.28523,1.28518,1.28523,3.6
01.08.2024 00:45:09.000 GMT+0100,1.28522,1.28522,1.28520,1.28522,2.7000000000000006
01.08.2024 00:45:10.000 GMT+0100,1.28521,1.28522,1.28521,1.28522,2.7000000000000006
01.08.2024 00:45:15.000 GMT+0100,1.28522,1.28522,1.28522,1.28522,1.35
01.08.2024 00:45:17.000 GMT+0100,1.28521,1.28521,1.28521,1.28521,1.8
01.08.2024 00:45:19.000 GMT+0100,1.28521,1.28521,1.28521,1.28521,0.9
01.08.2024 00:45:27.000 GMT+0100,1.28523,1.28523,1.28523,1.28523,1.35
01.08.2024 00:45:28.000 GMT+0100,1.28523,1.28523,1.28523,1.28523,1.8
01.08.2024 00:45:33.000 GMT+0100,1.28522,1.28522,1.28522,1.28522,0.9
01.08.2024 00:45:34.000 GMT+0100,1.28523,1.28523,1.28523,1.28523,0.9
01.08.2024 00:45:38.000 GMT+0100,1.28523,1.28523,1.28523,1.28523,1.8
01.08.2024 00:45:39.000 GMT+0100,1.28524,1.28524,1.28524,1.28524,0.9
01.08.2024 00:45:44.000 GMT+0100,1.28524,1.28524,1.28524,1.28524,0.9
01.08.2024 00:45:46.000 GMT+0100,1.28526,1.28526,1.28526,1.28526,0.9
01.08.2024 00:45:47.000 GMT+0100,1.28525,1.28525,1.28525,1.28525,1.8
01.08.2024 00:45:57.000 GMT+0100,1.28526,1.28526,1.28526,1.28526,0.9
01.08.2024 00:46:04.000 GMT+0100,1.28526,1.28526,1.28526,1.28526,1.44
01.08.2024 00:46:08.000 GMT+0100,1.28530,1.28535,1.28530,1.28535,2.79
01.08.2024 00:46:16.000 GMT+0100,1.28532,1.28532,1.28525,1.28525,8.1
01.08.2024 00:46:25.000 GMT+0100,1.28527,1.28527,1.28527,1.28527,0.9
01.08.2024 00:46:40.000 GMT+0100,1.28526,1.28526,1.28526,1.28526,0.9
01.08.2024 00:46:41.000 GMT+0100,1.28526,1.28526,1.28523,1.28523,1.8
